fighter_1,fighter_1_odds,fighter_2,fighter_2_odds,fighter_bout_id
Shauna Bannon,−170,Alice Ardelean,+142,30834383
Mick Parkin,−290,Lukasz Brzeski,+235,30769614
Sam Patterson,−425,Kiefer Crosbie,+330,30769613
Muhammad Mokaev,−155,Manel Kape,+130,30596230
Oban Elliott,+120,Preston Parsons,−142,30769615
Modestas Bukauskas,−155,Marcin Prachnio,+130,30769612
Jake Hadley,+170,Caolan Loughran,−205,30838394
Molly McCann,−340,Bruna Brasil,+270,30769617
Nathaniel Wood,−425,Daniel Pineda,+330,30769619
Arnold Allen,−230,Giga Chikadze,+190,30596232
Christian Leroy Duncan,−142,Gregory Rodrigues,+120,30769611
Bobby Green,−115,Paddy Pimblett,−105,30596229
Tom Aspinall,−375,Curtis Blaydes,+295,30596217
Leon Edwards,−258,Belal Muhammad,+210,30596216
Tony Ferguson,+320,Michael Chiesa,−410,30648932
Mackenzie Dern,−110,Loopy Godinez,−110,30648943
Marlon Vera,+130,Deiveson Figueiredo,−155,30631952
Cory Sandhagen,+190,Umar Nurmagomedov,−230,30648930
Dricus Du Plessis,+120,Israel Adesanya,−142,30713030
Gilbert Burns,+130,Sean Brady,−155,30742924
Michel Pereira,+136,Anthony Hernandez,−162,30765664
Alonzo Menifield,+160,Azamat Murzakanov,−192,30842853
Jai Herbert,−170,Rolando Bedoya,+142,30842851
Joel Alvarez,−118,Elves Brener,−102,30842854

